"Species"	"Body"	"Brain"
"Planigale_tenuirostris"	1.80005827204275	-1.96611285637283
"Planigale_ingrami"	1.43508452528932	-1.89711998488588
"Sminthopsis_griseoventer"	2.86220088092947	-0.713349887877465
"Sminthopsis_leucopus"	3.17805383034795	-0.891598119283784
"Sminthopsis_murina"	2.83321334405622	-0.82098055206983
"Sminthopsis_butleri"	2.56494935746154	-1.04982212449868
"Sminthopsis_hirtipes"	2.94443897916644	-0.891598119283784
"Ningaui_yvonneae"	2.19722457733622	-1.34707364796661
"Ningaui_ridei"	2.14006616349627	-1.42711635564015
"Sminthopsis_crassicaudata"	2.70805020110221	-1.02165124753198
"Sminthopsis_macroura"	2.99573227355399	-0.916290731874155
"Antechinomys_laniger"	3.2188758248682	-0.755022584278033
"Dasyuroides_byrnei"	4.76643833358421	0.405465108108164
"Dasykaluta_rosamondae"	3.55534806148941	-0.616186139423817
"Dasycercus_cristicauda"	4.78749174278205	0.215111379616945
"Pseudantechinus_macdonnellensis"	3.48124008933569	-0.713349887877465
"Pseudantechinus_bilarni"	3.31418600467253	-0.430782916092454
"Phascolosorex_dorsalis"	3.8607297110406	0.104360015324243
"Neophascogale_lorentzii"	5.35658627467201	0.896088024556636
"Dasyurus_albopunctatus"	6.44094654063292	1.33236601909433
"Dasyurus_viverrinus"	7.00306545878646	1.67335123817775
"Dasyurus_geoffroii"	7.00306545878646	1.64287268852034
"Dasyurus_maculatus"	7.82404601085629	2.24177295359729
"Dasyurus_hallucatus"	6.39275428380567	1.21787570949493
"Myoictis_melas"	4.51085950651685	0.717839793150317
"Parantechinus_apicalis"	4.31079912538551	0.182321556793955
"Phascogale_tapoatafa"	5.26527751246984	0.593326845277734
"Phascogale_calura"	3.94158180766969	-0.0943106794712413
"Murexia_longicaudata"	4.35670882668959	0.518793793415168
"Murexia_naso"	3.88156379794344	-0.261364764134408
"Murexia_melanurus"	3.43398720448515	-0.430782916092454
"Murexia_rothschildi"	4.0943445622221	0.048790164169432
"Antechinus_swainsonii"	3.97029191355212	0.0861776962410524
"Antechinus_minimus"	4.21582445975981	-0.301105092783922
"Antechinus_flavipes"	3.80666248977032	-0.446287102628419
"Antechinus_leo"	4.30406509320417	-0.287682072451781
"Antechinus_bellus"	3.80666248977032	-0.462035459596559
"Antechinus_stuartii"	3.31418600467253	-0.27443684570176
"Myrmecobius_fasciatus"	6.28692876000182	1.44691898293633
"Dromiciops_gliroides"	3.17805383034795	-0.210721031315653
