genus species body_mass metabolic_rate mass_specific_metabolic_rate brain_size common_name maximum_longevity_yrs data_quality body_mass_AnAge metabolic_rate_AnAge
Dendrolagus dorianus 7.879 NA NA 0.0334628 "Doria's tree kangaroo" 19 acceptable NA NA
Wallabia bicolor 8.949 NA NA 0.0340844 "Swamp wallaby" 16.8 acceptable NA NA
Macropus agilis 14.066 NA NA 0.0344988 "Agile wallaby" 16.9 acceptable NA NA
Macropus rufogriseus 12.09 NA NA 0.037296 "Red-necked wallaby" 15.2 acceptable NA NA
Macropus parryi 15.194 NA NA 0.0427868 "Whiptail wallaby" NA low NA NA
Lasiorhinus latifrons 19.264 NA NA 0.057498 "Southern hairy-nosed wombat" 29.9 acceptable 27348.2 16.001
Macropus antilopinus 31.286 NA NA 0.0588448 "Antilopine wallaroo" 19.8 acceptable NA NA
Macropus fuliginosus 31.04 NA NA 0.060088 "Western gray kangaroo" 23.2 high NA NA
Macropus robustus 35.54 NA NA 0.061124 Wallaroo 22 acceptable 29647.9 33.056
Vombatus ursinus 27.192 NA NA 0.061124 "Coarse-haired wombat" 30 acceptable NA NA
Macropus rufus 44.841 NA NA 0.0646464 "Red kangaroo" 25 high 28500 31.353
Macropus giganteus 38.977 NA NA 0.0723128 "Eastern gray kangaroo" 25 high NA NA
Dromiciops gliroides 0.0214 NA NA 8.3916e-4 "Monito del monte" NA low NA NA
Notoryctes caurinus 0.055 NA NA 8.0808e-4 NA NA NA NA NA
Rhyncholestes raphanurus 0.02 NA NA 6.734e-4 NA NA NA NA NA
Caenolestes fuliginosus 0.0179 NA NA 7.0448e-4 NA NA NA NA NA
Chaeropus ecaudatus 0.327 NA NA 0.0024864 NA NA NA NA NA
Perameles bougainville 0.457 NA NA 0.00332556 "Western barred bandicoot" 5.8 acceptable NA NA
Echymipera kalubu 0.697 NA NA 0.00380212 "New Guinea spiny bandicoot" NA low NA NA
Echymipera rufescens 0.798 NA NA 0.00386428 "Long-nosed echymipera" 3.1 acceptable 886.6 2.255
Microperoryctes longicauda 0.479 NA NA 0.00394716 NA NA NA NA NA
Macrotis leucura 0.877 NA NA 0.0044548 NA NA NA NA NA
Isoodon macrourus 0.822 NA NA 0.00457912 "Northern brown bandicoot" 6.8 acceptable 1551 3.202
Echymipera clara 1.207 NA NA 0.00464128 NA NA NA NA NA
Perameles gunnii 1.002 NA NA 0.004662 "Eastern barred bandicoot" 6.1 acceptable 695 1.902
Perameles nasuta 0.96 NA NA 0.00513856 "Long-nosed bandicoot" 5.6 acceptable 645 1.763
Peroryctes raffrayana 0.977 NA NA 0.00655788 "Raffray's bandicoot" 3.2 questionable NA NA
Macrotis lagotis 1.859 NA NA 0.00680652 "Rabbit-bandicoot or bilby" 9.6 acceptable 1245.5 2.4
Antechinus wilhelmina 0.0182 NA NA 8.0808e-4 NA NA NA NA NA
Isoodon obesulus 0.691 NA NA 0.00403004 "Southern brown bandicoot" 6.5 acceptable 717 1.238
Marmosa mitis 0.0505 NA NA 7.252e-4 NA NA NA NA NA
Petauroides volans 0.631 NA NA 0.00521108 "Greater glider" NA low 1140.5 3.191
Petrogale venusta 2.127 NA NA 0.017094 NA NA NA NA NA
Pseudocheirus occidentalis 0.759 NA NA 0.00578088 NA NA NA NA NA
Trichosurus fuliginosus 3.492 NA NA 0.012432 NA NA NA NA NA
Solenodon paradoxus 0.9 NA NA 0.00467 "Hispaniolan solenodon" 12.1 acceptable NA NA
Tenrec ecaudatus 0.832 NA NA 0.00257 Tenrec 8.7 acceptable 650 0.729
Setifer setosus 0.248 NA NA 0.00151 "Greater hedgehog tenrec" 14.1 acceptable 427.6 0.573
Hemicentetes semispinosus 0.11 NA NA 8.3e-4 "Streaked tenrec" 2.7 questionable 116.4 0.38
Echinops telfairi 0.0875 NA NA 6.2e-4 "Lesser hedgehog tenrec" 19 acceptable 116.4 0.75
Oryzorictes hova 0.0442 NA NA 5.8e-4 NA NA NA NA NA
Microgale cowani 0.0152 NA NA 4.2e-4 NA NA NA NA NA
Microgale dobsoni 0.0326 NA NA 5.6e-4 "Dobson's shrew tenrec" 5.6 acceptable 44.6 0.315
Limnogale mergulus 0.092 NA NA 0.00115 NA NA NA NA NA
Potamogale velox 0.66 NA NA 0.0041 NA NA NA NA NA
Erinaceus europaeus 0.86 NA NA 0.00335 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Sorex minutus 0.0053 NA NA 1e-4 "Eurasian pygmy shrew" NA low 4.1 0.179
Sorex araneus 0.0103 NA NA 2e-4 "Eurasian shrew" 3.2 acceptable 8.4 0.348
Blarina brevicauda 0.0185 NA NA 3.7e-4 "Northern short-tailed shrew" 2.2 acceptable 20.9 0.344
Neomys fodiens 0.0152 NA NA 3.2e-4 "Eurasian water shrew" 3.1 acceptable 16 0.328
Sylvisorex megalura 0.0053 NA NA 1.5e-4 NA NA NA NA NA
Sylvisorex lunaris 0.0185 NA NA 3.4e-4 NA NA NA NA NA
Suncus murinus 0.0355 NA NA 3.8e-4 "Asian house shrew" 3.2 acceptable 39.7 0.403
Crocidura hildegardeae 0.0106 NA NA 2.2e-4 NA NA NA NA NA
Crocidura russula 0.011 NA NA 1.9e-4 "White-toothed shrew" 4 acceptable 10.8 0.143
Crocidura niobe 0.0115 NA NA 2.8e-4 NA NA NA NA NA
Crocidura jacksoni 0.0126 NA NA 2.5e-4 NA NA NA NA NA
Crocidura occidenlalis 0.028 NA NA 4.4e-4 NA NA NA NA NA
Crocidura giffardi 0.082 NA NA 5.5e-4 NA NA NA NA NA
Crocidura pyrenaicus 0.0575 NA NA 0.00133 NA NA NA NA NA
Desmana moschata 0.44 NA NA 0.004 NA NA NA NA NA
Talpa europaea 0.076 NA NA 0.00102 "European mole" NA low NA NA
Scalopus aquaticus 0.0396 NA NA 0.00116 "Eastern mole" NA low 48 0.378
Chrysochloris asiatica 0.049 NA NA 7e-4 NA NA NA NA NA
Chrysochloris stuhlmanni 0.0398 NA NA 7.4e-4 NA NA NA NA NA
Elephantulus fuscipes 0.057 NA NA 0.00133 NA NA NA NA NA
Rhynchocyon stuhlmanni 0.49 NA NA 0.0061 NA NA NA NA NA
Tupaia javanica 0.105 NA NA 0.00255 NA NA NA NA NA
Tupaia glis 0.15 NA NA 0.00315 "Common tree shrew" 12.4 acceptable 123 0.522
Urogale everetti 0.275 NA NA 0.00428 "Mindanao tree shrew" 11.5 acceptable 260.6 1.25
Cheirogaleus medius 0.177 NA NA 0.00314 "Fat-tailed dwarf lemur" 29 acceptable 300 1.088
Cheirogaleus major 0.45 NA NA 0.0068 "Greater dwarf lemur" 13.4 questionable NA NA
Microcebus murinus 0.054 NA NA 0.00178 "Gray mouse lemur" 18.2 acceptable NA NA
Prolemur simus 1.3 NA NA 0.00953 "Greater bamboo lemur" 17.6 acceptable NA NA
Lepilemur ruficaudatus 0.915 NA NA 0.0076 "Red-tailed sportive lemur" NA low NA NA
Eulemur fulvus 1.4 NA NA 0.0233 "Brown lemur" 35.5 acceptable 2374.1 4.239
Eulemur albifrons 1.54 NA NA 0.0223 NA NA NA NA NA
Eulemur rufiventer 1.4 NA NA 0.0266 NA NA NA NA NA
Eulemur mongoz 1.6 NA NA 0.0241 "Mongoose lemur" 36.2 acceptable NA NA
Eulemur catta 1.96 NA NA 0.022 NA NA NA NA NA
Eulemur macaco 2.04 NA NA 0.0235 "Black lemur" 37.5 acceptable NA NA
Eulemur variegatus 3 NA NA 0.0315 NA NA NA NA NA
Avahi occidentalis 0.86 NA NA 0.00967 NA NA NA NA NA
Avahi laniger 1.27 NA NA 0.01145 NA NA NA NA NA
Propithecus coquereli 3.48 NA NA 0.0267 NA NA NA NA NA
Indri indri 6.25 NA NA 0.0383 NA NA NA NA NA
Daubentonia madagascariensis 2.8 NA NA 0.04515 Aye-aye 32.3 acceptable NA NA
Loris tardigradus 0.322 NA NA 0.0066 "Slender loris" 21.6 acceptable 284 0.714
Nycticebus coucang 0.6 NA NA 0.0125 "Slow loris" 25.8 acceptable 1128.6 1.504
Perodicticus potto 1.15 NA NA 0.014 Potto 32.4 acceptable 968.6 1.942
Galagoides demidovii 0.081 NA NA 0.00338 NA NA NA NA NA
Galagoides senegalensis 0.186 NA NA 0.0048 NA NA NA NA NA
Galagoides crassicaudatus 0.85 NA NA 0.0103 NA NA NA NA NA
Carlito syrichta 0.0875 NA NA 0.00363 "Philippine tarsier" 16 acceptable 113 0.43
Tarsius spectrum 0.17 NA NA 0.00465 NA NA NA NA NA
Artibeus jamaicensis 0.0375 NA NA 0.00093000000000000005 "Jamaican fruit-eating bat" 19.2 acceptable 46.1 0.359
Artibeus lituratus 0.0587 NA NA 0.00105 "Great fruit-eating bat" NA low 70.1 0.602
Carollia perspicillata 0.016 NA NA 4.7e-4 "Seba's short-tailed bat" 17 high 14.9 0.24
Casinycteris argynnis 0.0405 NA NA 9.2e-4 NA NA NA NA NA
Cynopterus brachyotis 0.029 NA NA 8.8e-4 "Lesser short-nosed fruit bat" 10.1 acceptable 37.2 0.262
Cynopterus horsfieldi 0.053 NA NA 0.00123 NA NA NA NA NA
Diaemus youngi 0.0346 NA NA 9.7e-4 NA NA NA NA NA
Diaemus rotundus 0.03 NA NA 8.6e-4 NA NA NA NA NA
Eonycteris spelea 0.05 NA NA 0.00118 NA NA NA NA NA
Glossophaga soricina 0.0112 NA NA 3.9e-4 "Pallas's long-tongued bat" 11 acceptable 9.6 0.164
Hipposideros bicolor 0.0084 NA NA 2.4e-4 NA NA NA NA NA
Hipposideros caffer 0.0107 NA NA 3.2e-4 NA NA NA NA NA
Hypsignathus monstrosus 0.34 NA NA 0.0034 "Hammer-headed fruit bat" NA low NA NA
Leptonycteris curasoae 0.0245 NA NA 5.5e-4 "Southern long-nosed bat" 10.1 acceptable NA NA
Mimon crenulatum 0.0148 NA NA 3.4e-4 NA NA NA NA NA
Mormoops megalophylla 0.0156 NA NA 4.2e-4 NA NA NA NA NA
Myotis bechsteini 0.0075 NA NA 2.65e-4 NA NA NA NA NA
Myotis bocagei 0.0076 NA NA 2.1e-4 NA NA NA NA NA
Myotis dasycneme 0.015 NA NA 3.1e-4 "Pond bat" 20.5 acceptable NA NA
Myotis daubentoni 0.007 NA NA 2.3e-4 NA NA NA NA NA
Myotis myotis 0.025 NA NA 4.8e-4 "Mouse-eared bat" 37.1 acceptable NA NA
Myotis mystacinus 0.004 NA NA 1.6e-4 "Whiskered bat" 24 acceptable NA NA
Myotis nattereri 0.007 NA NA 2.2e-4 "Natterer's bat" 23.7 acceptable NA NA
Myotis nigricans 0.0045 NA NA 1.2e-4 "Black myotis" 7 acceptable 3.7 0.027
Noctilio leporinus 0.0585 NA NA 0.00126 "Greater bulldog bat" 11.8 acceptable 61 0.4
Nycteris arge 0.0106 NA NA 3.6e-4 NA NA NA NA NA
Nyctalus noctula 0.025 NA NA 3.69e-4 Noctule 12 acceptable NA NA
Phyllostomus discolor 0.033 NA NA 8.9e-4 "Pale spear-nosed bat" 9 acceptable 33.5 0.267
Pteronotus davyi 0.0106 NA NA 3.1e-4 NA NA NA NA NA
Rhinolophus hipposideros 0.00715 NA NA 2.35e-4 "Lesser horseshoe bat" 29.4 acceptable NA NA
Rhynchonycteris naso 0.0043 NA NA 1.1e-4 NA NA NA NA NA
Rousettus aegyptiacus 0.13 NA NA 0.0026 "Egyptian rousette" 22.9 acceptable 146 0.684
Saccopteryx bilineata 0.008 NA NA 2.2e-4 "Greater sac-winged bat" 6 acceptable 7.8 0.081
Sturnira lilium 0.0171 NA NA 5.2e-4 "Little yellow-shouldered bat" 12 acceptable 21.4 0.237
Uroderma bilobatum 0.0164 NA NA 5.3e-4 NA NA NA NA NA
Vampyrops helleri 0.0116 NA NA 4.2e-4 NA NA NA NA NA
Vespertilio serotinus 0.0234 NA NA 3.1e-4 NA NA NA NA NA
Vespertilio murinus 0.0333 NA NA 4.45e-4 "Particolored bat" 14.5 questionable NA NA
Scotophilus gigas 0.101 NA NA 0.001046 NA NA NA NA NA
Miniopterus schreibers 0.0127 NA NA 2.9e-4 NA NA NA NA NA
Tadarida albiventer 0.0115 NA NA 2.2e-4 NA NA NA NA NA
Chaerophon limbatus 0.0133 NA NA 2.9e-4 NA NA NA NA NA
Chaerophon Ieucostigma 0.0265 NA NA 3.9e-4 NA NA NA NA NA
Molossus major 0.013 NA NA 2.6e-4 NA NA NA NA NA
Molossus ate 0.0281 NA NA 4.8e-4 NA NA NA NA NA
Pteropus vampyru 1.22 NA NA 0.0102 NA NA NA NA NA
Epomophorus gambianus 0.309 NA NA 0.00433 "Gambian epauletted fruit bat" 7.8 acceptable NA NA
Pteropus edwarsi 0.287 NA NA 0.008 NA NA NA NA NA
Semnopithecus entellus 7.01 NA NA 0.1115 "Hanuman langur" 29 acceptable NA NA
Semnopithecus entellus 4.4 NA NA 0.105 "Hanuman langur" 29 acceptable NA NA
Cercopithecus callitrichus 3 NA NA 0.0815 NA NA NA NA NA
Cercopithecus griseoviridis 1.908 NA NA 0.06 NA NA NA NA NA
Cercopithecus cynosurus 2.92 NA NA 0.072 NA NA NA NA NA
Cercopithecus sabaeus 1.44 NA NA 0.0748 NA NA NA NA NA
Cercopithecus rufoviridis 2.05 NA NA 0.051 NA NA NA NA NA
Papio cynocephalus NA NA NA 0.197 NA NA NA NA NA
Cercocebus fuliginosus 3.09 NA NA 0.1035 NA NA NA NA NA
Cercocebus fuliginosus NA NA NA 0.1305 NA NA NA NA NA
Cercocebus fuliginosus NA NA NA 0.1018 NA NA NA NA NA
Cercocebus fuliginosus 2.25 NA NA 0.1 NA NA NA NA NA
Cercocebus fuliginosus 7.735 NA NA 0.0926 NA NA NA NA NA
Cercocebus fuliginosus 2.815 NA NA 0.085 NA NA NA NA NA
Macaca fascicularis 4.035 NA NA 0.079 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis 2.05 NA NA 0.0757 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis 1.425 NA NA 0.0739 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis 1.21 NA NA 0.066 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis NA NA NA 0.068 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis 1.98 NA NA 0.0623 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis NA NA NA 0.056 "Long-tailed macaque" 39 acceptable NA NA
Macaca fascicularis 2.49 NA NA 0.0537 "Long-tailed macaque" 39 acceptable NA NA
Macaca pileatus 2.22 NA NA 0.0601 NA NA NA NA NA
Macaca pileatus 1.72 NA NA 0.0562 NA NA NA NA NA
Macaca sylvanus NA NA NA 0.0877 "Barbary macaque" 29.1 high NA NA
Macaca rhesus NA NA NA 0.1057 NA NA NA NA NA
Macaca rhesus 3.845 NA NA 0.1008 NA NA NA NA NA
Macaca rhesus NA NA NA 0.097 NA NA NA NA NA
Macaca rhesus 1.752 NA NA 0.0831 NA NA NA NA NA
Macaca rhesus 2.634 NA NA 0.082 NA NA NA NA NA
Macaca rhesus 1.86 NA NA 0.081 NA NA NA NA NA
Macaca rhesus 2.625 NA NA 0.0802 NA NA NA NA NA
Macaca rhesus 1.985 NA NA 0.0789 NA NA NA NA NA
Macaca rhesus 1.42 NA NA 0.0784 NA NA NA NA NA
Macaca assamensis 3.655 NA NA 0.0905 "Assam macaque" 31.4 acceptable NA NA
Macaca leonina 2.05 NA NA 0.09 NA NA NA NA NA
Macaca nemestrina 6.625 NA NA 0.117 "Pigtail macaque" 37.6 acceptable NA NA
Ateles paniscus 2.55 NA NA 0.12 "Black spider monkey" 46 acceptable NA NA
Ateles paniscus 2.035 NA NA 0.1083 "Black spider monkey" 46 acceptable NA NA
Ateles paniscus 2.305 NA NA 0.1088 "Black spider monkey" 46 acceptable NA NA
Cebus capucinus 1.92 NA NA 0.061 "White-faced capuchin" 54 acceptable NA NA
Cebus capucinus 0.9697 NA NA 0.0637 "White-faced capuchin" 54 acceptable NA NA
Cebus olivaceus 1.262 NA NA 0.0725 "Weeping capuchin" 47 acceptable NA NA
Sapajus libidinosus 2.645 NA NA 0.0577 NA NA NA NA NA
Sapajus libidinosus 2.52 NA NA 0.0965 NA NA NA NA NA
Cebus apella NA NA NA 0.0665 NA NA NA NA NA
Alouatta caraya 2.955 NA NA 0.0456 "Black howler monkey" 32.4 acceptable NA NA
Lagothrix lagothricha 2.55 NA NA 0.0925 "Humboldt's woolly monkey" 32 acceptable NA NA
Aotus trivirgatus 0.48 NA NA 0.0155 "Northern night monkey" 30.1 acceptable 914.5 2.499
Saimiri sciureus 0.3285 NA NA 0.0235 "South American squirrel monkey" 30.2 high 836.7 4.429
Saimiri sciureus 0.365 NA NA 0.0212 "South American squirrel monkey" 30.2 high 836.7 4.429
Callithrix jacchus 0.242 NA NA 0.009 "White-tufted-ear marmoset" 22.8 high 190 0.848
Callithrix jacchus 0.169 NA NA 0.0072 "White-tufted-ear marmoset" 22.8 high 190 0.848
Callithrix jacchus 0.225 NA NA 0.0067 "White-tufted-ear marmoset" 22.8 high 190 0.848
Callithrix jacchus 0.221 NA NA 0.009 "White-tufted-ear marmoset" 22.8 high 190 0.848
Callithrix jacchus 0.155 NA NA 0.0073 "White-tufted-ear marmoset" 22.8 high 190 0.848
Callithrix jacchus 0.187 NA NA 0.0076 "White-tufted-ear marmoset" 22.8 high 190 0.848
Callithrix jacchus 0.235 NA NA 0.0072 "White-tufted-ear marmoset" 22.8 high 190 0.848
Leontopithecus rosalia NA NA NA 0.014 "Golden lion tamarin" 31.6 high NA NA
Leontopithecus rosalia 0.407 NA NA 0.0127 "Golden lion tamarin" 31.6 high NA NA
Midas ursulus 0.225 NA NA 0.0084 NA NA NA NA NA
Propithecus coronatus NA NA NA 0.0316 NA NA NA NA NA
Eulemur macaco 1.29 NA NA 0.0245 "Black lemur" 37.5 acceptable NA NA
Eulemur macaco 1.2485 NA NA 0.024 "Black lemur" 37.5 acceptable NA NA
Eulemur macaco 1.94 NA NA 0.022 "Black lemur" 37.5 acceptable NA NA
Eulemur rufriventer 1.015 NA NA 0.0249 NA NA NA NA NA
Eulemur rufriventer 1.79 NA NA 0.0283 NA NA NA NA NA
Eulemur albifrons 1.54 NA NA 0.0223 NA NA NA NA NA
Eulemur mongoz 1.808 NA NA 0.0232 "Mongoose lemur" 36.2 acceptable NA NA
Eulemur mongoz 1.305 NA NA 0.0258 "Mongoose lemur" 36.2 acceptable NA NA
Eulemur mongoz 1.565 NA NA 0.0231 "Mongoose lemur" 36.2 acceptable NA NA
Lemur catta 2.35 NA NA 0.0208 "Ring-tailed lemur" 37.3 high NA NA
Perodicticus potto 0.538 NA NA 0.0109 Potto 32.4 acceptable 968.6 1.942
Nycticebus tardigradus 0.527 NA NA 0.0144 NA NA NA NA NA
Nycticebus tardigradus 0.365 NA NA 0.0105 NA NA NA NA NA
Pteropus giganteus 0.382 NA NA 0.01 "Indian flying fox" 40 high 562.2 1.622
Pteropus giganteus 0.414 NA NA 0.007 "Indian flying fox" 40 high 562.2 1.622
Pteropus giganteus 0.325 NA NA 0.0062 "Indian flying fox" 40 high 562.2 1.622
Pteropus giganteus 0.405 NA NA 0.0063 "Indian flying fox" 40 high 562.2 1.622
Pteropus giganteus 0.323 NA NA 0.0075 "Indian flying fox" 40 high 562.2 1.622
Pteropus giganteus 0.38 NA NA 0.0073 "Indian flying fox" 40 high 562.2 1.622
Pteropus giganteus 0.395 NA NA 0.0068 "Indian flying fox" 40 high 562.2 1.622
Erinaceus europaeus 0.718 NA NA 0.0065 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.669 NA NA 0.0036 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.515 NA NA 0.0035 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.497 NA NA 0.003 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.925 NA NA 0.0033 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.92 NA NA 0.0035 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.985 NA NA 0.0033 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.448 NA NA 0.0035 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Erinaceus europaeus 0.69 NA NA 0.003 "Western European hedgehog" 11.7 acceptable 1213.5 2.434
Talpa europaea 0.077 NA NA 0.0015 "European mole" NA low NA NA
Ailurus fulgens 5.59 NA NA 0.0468 "Red panda" 19 high 5740 4.898
Mustela putorius NA NA NA 0.0075 "European polecat" 11.1 acceptable NA NA
Mustela putorius 0.415 NA NA 0.0066 "European polecat" 11.1 acceptable NA NA
Mustela erminea 0.179 NA NA 0.0046 Ermine 12.5 acceptable 125.5 1.276
Mustela erminea 0.098 NA NA 0.004 Ermine 12.5 acceptable 125.5 1.276
Mustela erminea 0.102 NA NA 0.0033 Ermine 12.5 acceptable 125.5 1.276
Galictis vittata 0.92 NA NA 0.0153 "Greater grison" 12.5 acceptable NA NA
Eira barbara 2 NA NA 0.0442 Tayra 22.3 acceptable 2950 6.811
Canis mesomelas 8 NA NA 0.0548 "Black-backed jackal" 16.7 acceptable 7720 21.533
Vulpes vulpes 2.91 NA NA 0.0468 "Red fox" 21.3 acceptable 4580.3 13.731
Vulpes vulpes 2.55 NA NA 0.0436 "Red fox" 21.3 acceptable 4580.3 13.731
Vulpes vulpes 4.235 NA NA 0.0505 "Red fox" 21.3 acceptable 4580.3 13.731
Vulpes vulpes NA NA NA 0.054 "Red fox" 21.3 acceptable 4580.3 13.731
Mungos mungo 0.93 NA NA 0.0108 "Banded mongoose" 17.4 high NA NA
Paradoxurus hermaphroditus 3.047 NA NA 0.0237 "Asian palm civet" 24.5 acceptable 3282.6 5.534
Paradoxurus hermaphroditus NA NA NA 0.0282 "Asian palm civet" 24.5 acceptable 3282.6 5.534
Dasyurus viverrinus NA NA NA 0.0048 "Eastern quoll" 6.8 acceptable 945.3 2.26
Arctictis binturong NA NA NA 0.0424 Binturong 27 acceptable 14280 12.747
Herpestes smithii 1.205 NA NA 0.0146 "Ruddy mongoose" 17.8 acceptable NA NA
Genetta pardina 1.032 NA NA 0.0154 "Pardine genet" NA low NA NA
Caracal caracal 7.67 NA NA 0.0519 Caracal 20.3 acceptable NA NA
Felis silvestris 3.96 NA NA 0.032 "Wild cat" 19 acceptable NA NA
Felis silvestris 3.62 NA NA 0.03 "Wild cat" 19 acceptable NA NA
Felis silvestris 3.46 NA NA 0.0251 "Wild cat" 19 acceptable NA NA
Felis silvestris 3.743 NA NA 0.0328 "Wild cat" 19 acceptable NA NA
Felis silvestris 2.577 NA NA 0.0285 "Wild cat" 19 acceptable NA NA
Felis silvestris 3.48 NA NA 0.0252 "Wild cat" 19 acceptable NA NA
Felis silvestris 3.58 NA NA 0.0248 "Wild cat" 19 acceptable NA NA
Felis silvestris 2.58 NA NA 0.0215 "Wild cat" 19 acceptable NA NA
Panthera leo 84 NA NA 0.2595 Lion 27 high 98000 94.58
Rubrisciurus rubriventer 0.365 NA NA 0.0069 NA NA NA NA NA
Rubrisciurus rubriventer 0.365 NA NA 0.0065 NA NA NA NA NA
Sciurus niger 0.328 NA NA 0.0072 "Eastern fox squirrel" 16 acceptable NA NA
Marmota sibirica 1.89 NA NA 0.0181 NA NA NA NA NA
Ictidomys tridecemlineatus 0.2 NA NA 0.0022 "Thirteen-lined ground squirrel" 7.9 acceptable 198.4 0.983
Ictidomys tridecemlineatus 0.115 NA NA 0.0024 "Thirteen-lined ground squirrel" 7.9 acceptable 198.4 0.983
Glis glis 0.148 NA NA 0.0019 "Fat dormouse" 8.7 acceptable 174.4 0.664
Cricetus cricetus 0.297 NA NA 0.0022 "Black-bellied hamster" 3.6 acceptable 365.3 1.251
Rattus norvegicus 0.465 NA NA 0.00875 "Norway rat" 3.8 acceptable 206.9 1.404
Rattus norvegicus 0.254 NA NA 0.0073 "Norway rat" 3.8 acceptable 206.9 1.404
Gerbillus gerbillus 0.095 NA NA 0.0034 "Lesser Egyptian gerbil" 5.9 acceptable 29.7 0.237
Muscardinus avellanarius 0.013 NA NA 5e-4 "Hazel dormouse" 5.3 acceptable 23.5 0.351
Allactaga saliens 0.193 NA NA 0.0035 NA NA NA NA NA
Jaculus orientalis 0.098 NA NA 0.0025 "Greater Egyptian jerboa" 5.5 acceptable 139 0.775
Capromys pilorides 0.155 NA NA 0.0045 "Desmarest's hutia" 13.8 acceptable 2630 3.375
Atherurus africanus 3.629 NA NA 0.0253 "African brush-tailed porcupine" 22.9 acceptable NA NA
Lagidium viscacia 2.252 NA NA 0.016 "Mountain viscacha" 19.5 acceptable NA NA
Lagidium viscacia 2.35 NA NA 0.0152 "Mountain viscacha" 19.5 acceptable NA NA
Lagidium viscacia 3.845 NA NA 0.0148 "Mountain viscacha" 19.5 acceptable NA NA
Lagidium viscacia 1.395 NA NA 0.0143 "Mountain viscacha" 19.5 acceptable NA NA
Cuniculus paca 5.635 NA NA 0.0358 "Lowland paca" 16.3 acceptable 9156 15.323
Dolichotis patagonum NA NA NA 0.0305 "Patagonian mara" 14.4 high NA NA
Cavia porcellus 0.348 NA NA 0.0064 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.648 NA NA 0.0041 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.493 NA NA 0.0038 "Guinea pig" 12 high 639.1 2.13
Cavia porcellus 0.1065 NA NA 0.0029 "Guinea pig" 12 high 639.1 2.13
Cavia apera 0.088 NA NA 0.0028 NA NA NA NA NA
Lepus europaeus NA NA NA 0.0178 "European hare" 10.7 acceptable NA NA
Oryctolagus cuniculus 2.844 NA NA 0.0137 "European rabbit" 9 questionable 2167.9 7.395
Oryctolagus cuniculus 2.217 NA NA 0.0106 "European rabbit" 9 questionable 2167.9 7.395
Oryctolagus cuniculus 0.622 NA NA 0.00905 "European rabbit" 9 questionable 2167.9 7.395
Procavia capensis 1.92 NA NA 0.02 "Rock hyrax" 14.8 acceptable 2458 4.954
Procavia capensis 0.6 NA NA 0.0148 "Rock hyrax" 14.8 acceptable 2458 4.954
Pecari tajacu NA NA NA 0.0853 "Collared peccary" 31.5 high 20500 33.165
Sus scrofa NA NA NA 0.1698 "Wild boar" 27 high 135000 104.15
Cervus canadensis 200 NA NA 0.4093 NA NA NA NA NA
Odocoileus hemionus NA NA NA 0.195 "Mule deer" 22 acceptable NA NA
Rusa timorensis NA NA NA 0.1976 "Timor deer" 21.1 acceptable NA NA
Boselaphus tragocamelus 125 NA NA 0.2555 Nilgai 21.7 high NA NA
Boselaphus tragocamelus 125 NA NA 0.288 Nilgai 21.7 high NA NA
Capra aegagrus NA NA NA 0.1306 NA NA NA NA NA
Capra aegagrus NA NA NA 0.0858 NA NA NA NA NA
Bos taurus NA NA NA 0.307 "Domestic cattle" 20 questionable 347000 306.77
Euphractus sexcinctus 7.99 NA NA 0.0335 "Six-banded armadillo" 22.1 acceptable 8190 6.901
Bradypus tridactylus 4.097 NA NA 0.0249 "Pale-throated three-toed sloth" NA low NA NA
Trichosurus vulpecula 1.62 NA NA 0.0114 "Brush-tailed possum" 15.9 acceptable 1993.5 3.8
Macropus robustus NA NA NA 0.0358 Wallaroo 22 acceptable 29647.9 33.056
Onychogalea fraenata 1.433 NA NA 0.0135 "Ridled nail-tailed wallaby" 7.4 acceptable NA NA
Didelphis marsupialis 1.7 NA NA 0.0063 "Southern opossum" 4.2 acceptable 1244.3 3.31
Ursus arctos 142.88 NA NA 0.2339 "Brown bear" 40 acceptable NA NA
Ursus maritimus 199.57 NA NA 0.489 "Polar bear" 43.8 acceptable NA NA
Ursus maritimus 317 NA NA 0.507 "Polar bear" 43.8 acceptable NA NA
